Key,Id,English(en),Russian(ru),Custom(rucom)
"room_1_entry_player_comment",25026519629029376,"@Oh my God... My head is splitting... Where am I?
@Damn... I don't remember much. What did it say in the manual?
@In the event of an emergency, assess the danger, regroup, and look for a way out.
@That's what we'll do! I don't think I came in here alone. I need to see the body.","@О боже... Голова раскалывается... Где я? →
@Чёрт... Почти ничего не помню. Как там было в уставе? →
@В случае чрезвычайной ситуации оценить опасность, перегрупироваться и искать выход. →
@Этим и займёмся! Я, кажется, пришёл сюда не один, надо осмотреть тело.","Начало игры"
"room_1_dead_body_object_comment",39148838912,"Dead... The number on the patch is the same as mine, so it looks like he's from my squad.","Мёртв... На нашивке номер как у меня, похоже он из моего отряда.","Взаимодействие с трупом в локации 1"
"room_1_wall_inscription_object_comment_1",46342070272,"Familiar names. It seems... These are my comrades I came here with. Let's find them!","Знакомые имена. Кажется... Это мои товарищи, с которыми я сюда пришёл. Надо найти их!","Взаимодействие с надписями"
"room_1_wall_inscription_object_comment_2",1054562650939392,"If anyone survived, then together we can definitely get out of here.","Если хоть кто-то выжил, то вместе мы точно сможем выбраться отсюда.","Повторное взаимодействие с надписями"
"room_1_wall_inscription_object_comment_3",1054578853535744,"One of them must have been a friend of mine. Maybe they can help me remember who I am and what happened.","Наверное один из них был моим другом. Может мне помогут вспомнить кто я и что произошло?","Повторное взаимодействие с надписями"
"room_1_wall_inscription_object_comment_4",1054580241850368,"There's obviously some bullshit going on here. I sense danger... What made us split up?","Здесь явно творится какая-то херня. Я чувствую опасность... Что заставило нас разделиться?","Повторное взаимодействие с надписями"
"room_1_slime_no_filters_object_comment",13349607735287808,"These fumes would burn my lungs if I tried to walk through here without filters.","Эти испарения сожгут мне лёгкие, если я попытаюсь пройти здесь без фильтров.","Касание коллайдера слизи без фильтров"
"room_1_slime_filters_not_attached_object_comment",13415871933571072,"@I need to replace the ruined filters with new ones.
@I'll twist the old ones off the gas mask, put the new ones on, and you can safely go through the crap.","@Надо заменить испорченные фильтры на новые. →
@Скручу старые с противогаза, поставлю новые и можно смело пройти через эту дрянь.","Касание коллайдера слизи с фильтрами"
"room_1_on_slime_player_comment",952681937231872,"@Aah! It's like some memories came back, but then the pain in my head got in the way.
@I don't know... It's like I know this place, but something keeps me from remembering.","@Ааа! Словно какие-то воспоминания всплыли, но тут же боль в голове помешала. →
@Не знаю... Словно я знаю это место, но что-то не даёт мне вспомнить.","Касание коллайдера около двери в локацию 2"
"room_28_entry_player_comment",949198446125056,"The radio station! It won't make it to our block, but the captain had a radio. I'll try to contact him.","Радиостанция! До нашего блока не добьёт, но у капитана была рация. Попробую связаться с ним.","Появление в дежурной впервые"
"minigame_radio_entry",25758575581454336,"Hmm... Power's on, toggle switches are in the right positions. Baby, why aren't you working? Let me see what's going on inside.","Хм... Питание есть, тумблеры в нужных положениях. Крошка, чего ты не пашешь-то? Проверю-ка что там внутри творится.","Первый раз заходит в мини-игру"
"minigame_radio_details_variant_1",25758575610814464,"Aha! Parts are missing. I think I saw some on the table, I should go get them.","Ага! Деталей не хватает. Вроде на столе видел такие, надо пойти взять их.","Перый раз открывает заднюю крышку (нет деталей)"
"minigame_radio_details_variant_2",25758575610814465,"Aha! Parts are missing. It's a good thing I have these with me.","Ага! Деталей не хватает. Хорошо, что у меня с собой есть именно такие.","Перый раз открывает заднюю крышку (есть детали)"
"minigame_radio_wires",25758575610814466,"It still doesn't work. Weird, maybe the wires are not connected correctly?","Всё равно не работает. Странно, может провода неправильно подключены?","Когда вставлены все детали, но провода не вставлены"
"minigame_radio_frequency",25758575610814467,"It's working! Great, now we need to find the captain's frequency.","Заработало! Отлично, теперь надо найти частоту капитана.","Когда заработала радиостанция"
"minigame_radio_final",25758575610814468,"Which one?! I remember exactly that it was the captain's radio frequency... Where did this alert come from...","Какого?! Я точно помню, что это была частота рации капитана... Откуда это оповещение...","Когда нашёл нужную частоту"
"room_28_code_shelf_object_comment",7109360772964352,"The door won't budge. I need the code to the lock.","Дверца не поддаётся. Мне нужен код от замка.",
"room_28_code_shelf_opened_object_comment",15092773568110592,"Filters, great. That's enough for a while, we'll have to find more.","Фильтры, отлично. Этого хватит ненадолго, надо будет найти ещё.","Когда открыл шкаф"
"room_28_journals_object_comment",7108922568859648,"The duty log, various documents. Wow! These are the personal files of all the residents of the block!","Журнал дежурства, различные документы. Ого! Это же личные дела всех жильцов блока!",
"room_28_empty_shelf_object_comment",7109498253860864,,"Когда-то здесь было оружие и ликвидаторское снаряжение, но сейчас ничего…",
"room_28_boxes_object_comment",7114148633894912,,"Запас консерв и пайков на месяцы. Интересно… Выглядит всё новым, но сроки годности уже давно вышли.",
"room_28_slime_object_comment",7114351365578752,,"Откуда взялась эта слизь? О боже… Надеюсь это не тот, кто прятался здесь.",
"room_28_radio_final_message",10895981762830336,,"@Внимание! Это автоматическое оповещение системы безопасности. Внимание! Это автоматическое оповещение системы безопасности! →
@Всем ликвидаторам срочно приступить к очищению блока от последствий самосбора. →
@Код от шкафа со снаряжением 3581. Повторяю! Код от шкафа со снаряжением 3581.",
"room_2_kitchen_object_comment",956137339084800,,"Кажется, я что-то помню... Как готовил есть на этой плите, а ещё жена и дочь... Как давно я здесь жил? Всё в таком запустении.","Взаимодействие с кухонным гарнитуром"
"room_2_tv_object_comment",956934986653696,,"Телевизор, ничего себе. Это же надо было нарыть такую редкость.","Взаимодействие с телевизором"
"room_2_near_sofa_player_comment",15092426640449536,,"Это ребёнок плачет? Кажется плач доносится из той комнаты.","Когда подходишь к межкомнатной двери"
"room_2_entry_player_comment",15104285498138624,,"Батарейки на столе. Надеюсь они подойдут к моему фонарю, хоть что-то будет видно в кромешной темноте.","Когда входишь в кухню (с локации 1)"
"room_27_entry_player_comment",957836497772544,,"Люлька... Это же люлька моей дочери! Какого чёрта я слышу плач?!","Когда входишь в детскую"
"room_27_babyroom_modified_player_comment",25758575610814469,,"Что происходит?! Почему всё пропало?! Надо бы сваливать из этой квартиры.","Взаимодействие с люлькой"
"room_4_vasily_flat_closed_object_comment",21218962099658752,,"Закрыто, чёрт! Ну и где мне искать ключ от этой двери?!",
"room_4_vasily_flat_opened_object_comment",21219156044275712,,"Закрыто, чёрт! Стоит попробовать ключ, который я нашёл. Отлично, подошёл!",
"room_6_gigalift_player_comment",25758575610814470,,"@Ого! Эту большую трубу словно спилили. →
@Это место мне тоже знакомо. Не помню этого лифта, раньше здесь стояло что-то другое...","Первое посещение"
"room_7_workshop_player_comment",25758575610814471,,"@Мастерская... Осмотрюсь пожалуй. →
@За гермодверью должно быть убежище. Меня уже душит это одиночество, надеюсь хоть там кто-то выжил!","Первое посещение"
"room_7_door_vasily_quest_1",21218644389519360,,"@#1:Эй, есть кто-нибудь живой? →
@#2:Наконец пришёл! И сто лет не прошло. →
@#1:Вы меня знаете? Я... Я потерял память, ничерта не помню. →
@#2:МОЛЧАТЬ! Ты мешаешь слушать ЕГО! Ах, да... →
@#2:Пертурбации твоего слабого мозга имеют свою цель. Гнилые воспоминания запечатаны, пока не придёт пора разбить эти оковы. →
@#1:Я не понимаю о чём вы. Мы можем нормально поговорить? →
@#2:Сынок... Прости... Я... Я не совсем себя контролирую, но я правда могу тебе помочь. →
@#2:Ты ищешь своих друзей, но это напрасно. ОН уже забрал их! Ох... →
@#2:Делай что считаешь нужным, но прошу доверься мне! →
@#2:Принеси дневник из моей комнаты... Ключ от двери где-то в столе в этой мастерской. →
@#1:Если ты говоришь, что можешь помочь, то скажи мне как выбраться из этого блока. →
@#2:Прежних путей из этого ада нет. Лишь гигалифт сможет отвезти тебя. →
@#2:Но не радуйся раньше времени... ОН остановит тебя! Лифт не работает и я смогу помочь тебе его починить. →
@#1:Эх... Я бы предпочёл другой вариант, но похоже выбора у меня нет.
@Гигалифт... Неужели это тот самый, что находится в котельной?","Диалог с Василием №1"
"quest_vasily_wrong_item",21219877644918784,,"#2:И что это, идиот? На кой мне эта безделушка?",
"quest_vasily_right_item",21219926911213568,,"#2:Вот он, мой родимый! Да-да-да! Ох, вот оно как! Ты хитёр, всевышний. Ну что ж, спасибо НЕЗНАКОМЕЦ!",
"minigame_find_key_entry",25758575610814472,,"Видимо про этот стол сказал дед. Надо поискать в ящиках.","Начало мини-игры ""происк ключа"""
"minigame_find_key_papers",25758575610814473,,"Так долго можно копаться. Думаю ничего страшного если наведу тут беспорядок. Проще выложить всё из ящиков.","После 5 перекладываний объектов в ящиках (когда *тык* на объекты)"
"minigame_find_key_final_variant_1",25946360275787776,,"Ключи никогда лишними не бывают. Они открывают двери, поэтому я их и люблю.",
"minigame_find_key_final_variant_2",25946417649672192,,"Надо проверить, может он от квартиры Василия?",
